"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2024","1,311.26","1,301.34","1,311.67","1,298.64","136.47M","0.75%"
"11/28/2024","1,301.52","1,305.79","1,310.41","1,298.43","145.66M","0.04%"
"11/27/2024","1,301.06","1,297.28","1,303.99","1,296.94","113.49M","0.14%"
"11/26/2024","1,299.22","1,292.84","1,304.34","1,292.27","140.91M","0.56%"
"11/25/2024","1,291.94","1,286.46","1,293.30","1,285.82","139.57M","0.46%"
"11/22/2024","1,286.07","1,286.98","1,292.21","1,284.01","155.32M","-0.05%"
"11/21/2024","1,286.67","1,272.40","1,286.67","1,266.45","193.77M","1.17%"
"11/20/2024","1,271.73","1,258.25","1,277.67","1,250.67","214.06M","1.00%"
"11/19/2024","1,259.08","1,272.23","1,273.49","1,259.00","169.40M","-0.88%"
"11/18/2024","1,270.23","1,270.71","1,277.80","1,255.16","236.21M","-0.08%"
"11/15/2024","1,271.22","1,283.78","1,284.30","1,270.44","253.28M","-1.20%"
"11/14/2024","1,286.65","1,300.43","1,303.71","1,286.52","186.25M","-1.33%"
"11/13/2024","1,304.04","1,299.52","1,305.42","1,290.61","197.22M","0.16%"
"11/12/2024","1,301.95","1,312.55","1,315.80","1,297.99","184.86M","-0.65%"
"11/11/2024","1,310.46","1,317.34","1,318.71","1,298.78","302.54M","-0.52%"
"11/08/2024","1,317.34","1,331.32","1,331.51","1,312.83","194.30M","-0.70%"
"11/07/2024","1,326.65","1,335.07","1,336.29","1,325.87","139.49M","-0.22%"
"11/06/2024","1,329.56","1,314.11","1,331.53","1,314.11","171.80M","1.23%"
"11/05/2024","1,313.35","1,312.43","1,317.60","1,311.85","119.97M","0.05%"
"11/04/2024","1,312.64","1,325.94","1,326.99","1,311.03","232.21M","-0.98%"
"11/01/2024","1,325.62","1,333.76","1,336.08","1,324.42","210.85M","-0.97%"
"10/31/2024","1,338.60","1,334.10","1,341.01","1,328.19","198.15M","0.36%"
"10/30/2024","1,333.85","1,337.16","1,338.47","1,327.14","187.75M","-0.14%"
"10/29/2024","1,335.76","1,328.92","1,335.76","1,328.92","170.36M","0.56%"
"10/28/2024","1,328.33","1,324.70","1,328.57","1,322.97","144.59M","0.21%"
"10/25/2024","1,325.54","1,333.77","1,334.78","1,322.69","209.96M","-0.31%"
"10/24/2024","1,329.62","1,349.22","1,351.59","1,329.62","257.10M","-1.49%"
"10/23/2024","1,349.72","1,348.93","1,351.72","1,340.13","225.44M","0.06%"
"10/22/2024","1,348.92","1,357.42","1,359.40","1,344.10","292.65M","-0.67%"
"10/21/2024","1,358.03","1,361.28","1,366.36","1,358.03","193.89M","-0.34%"
"10/18/2024","1,362.69","1,368.11","1,372.66","1,360.64","272.77M","-0.01%"
"10/17/2024","1,362.89","1,357.31","1,362.89","1,346.14","225.85M","0.65%"
"10/16/2024","1,354.10","1,355.01","1,358.07","1,350.45","174.90M","-0.15%"
"10/15/2024","1,356.09","1,360.50","1,367.55","1,353.10","254.82M","-0.20%"
"10/14/2024","1,358.76","1,362.84","1,373.66","1,357.65","229.59M","-0.27%"
"10/11/2024","1,362.50","1,361.88","1,364.59","1,355.07","194.26M","0.14%"
"10/10/2024","1,360.58","1,355.69","1,370.15","1,355.69","295.00M","0.64%"
"10/09/2024","1,351.97","1,340.56","1,352.52","1,338.93","304.79M","0.96%"
"10/08/2024","1,339.05","1,337.90","1,344.38","1,331.61","253.32M","0.27%"
"10/07/2024","1,335.48","1,342.85","1,345.76","1,328.45","189.75M","-0.05%"
"10/04/2024","1,336.21","1,347.32","1,348.23","1,336.21","238.26M","-0.76%"
"10/03/2024","1,346.46","1,355.78","1,371.67","1,345.28","411.19M","-0.59%"
"10/02/2024","1,354.51","1,354.67","1,361.46","1,350.92","259.87M","-0.32%"
"10/01/2024","1,358.88","1,355.22","1,370.14","1,355.22","353.70M","0.47%"
"09/30/2024","1,352.56","1,351.21","1,354.91","1,346.18","268.20M","0.00%"
"09/27/2024","1,352.57","1,355.13","1,361.20","1,346.91","400.98M","0.13%"
"09/26/2024","1,350.85","1,346.43","1,359.71","1,344.01","414.07M","0.50%"
"09/25/2024","1,344.07","1,337.80","1,344.07","1,334.06","359.51M","0.99%"
"09/24/2024","1,330.87","1,320.58","1,330.87","1,318.29","210.39M","0.74%"
"09/23/2024","1,321.12","1,329.93","1,333.73","1,320.95","183.24M","-0.37%"
"09/20/2024","1,326.00","1,325.02","1,336.79","1,324.90","394.46M","0.58%"
"09/19/2024","1,318.41","1,315.17","1,319.41","1,312.28","171.75M","0.57%"
"09/18/2024","1,310.94","1,304.91","1,317.70","1,302.07","233.29M","0.56%"
"09/17/2024","1,303.65","1,282.84","1,303.65","1,281.16","141.55M","1.74%"
"09/16/2024","1,281.37","1,292.54","1,298.79","1,281.37","","-1.00%"
"09/13/2024","1,294.30","1,297.84","1,298.56","1,291.82","118.48M","-0.26%"
"09/12/2024","1,297.61","1,298.83","1,301.83","1,296.16","146.39M","0.29%"
"09/11/2024","1,293.88","1,292.14","1,298.37","1,285.66","146.84M","-0.01%"
"09/10/2024","1,294.06","1,309.56","1,312.49","1,291.16","208.13M","-1.00%"
"09/09/2024","1,307.15","1,310.11","1,310.64","1,303.04","160.91M","-0.63%"
"09/06/2024","1,315.39","1,309.72","1,315.63","1,304.78","184.68M","0.48%"
"09/05/2024","1,309.05","1,318.31","1,322.56","1,306.76","213.31M","-0.66%"
"09/04/2024","1,317.71","1,319.88","1,321.32","1,311.40","205.80M","-1.04%"
"08/30/2024","1,331.52","1,328.50","1,333.56","1,327.61","155.15M","0.37%"
"08/29/2024","1,326.67","1,322.93","1,332.27","1,322.93","217.25M","0.24%"
"08/28/2024","1,323.54","1,325.77","1,327.64","1,320.18","190.82M","0.10%"
"08/27/2024","1,322.28","1,317.85","1,324.57","1,315.97","202.04M","0.28%"
"08/26/2024","1,318.60","1,323.26","1,326.85","1,316.17","235.66M","-0.19%"
"08/23/2024","1,321.15","1,320.41","1,323.90","1,311.10","182.56M","0.20%"
"08/22/2024","1,318.57","1,320.79","1,322.67","1,315.42","212.88M","0.07%"
"08/21/2024","1,317.69","1,302.26","1,318.19","1,300.28","279.24M","0.95%"
"08/20/2024","1,305.25","1,300.32","1,309.41","1,299.86","221.76M","0.48%"
"08/19/2024","1,299.04","1,296.60","1,301.88","1,294.21","183.43M","0.57%"
"08/16/2024","1,291.68","1,266.95","1,291.89","1,266.95","282.86M","2.08%"
"08/15/2024","1,265.32","1,270.00","1,272.25","1,263.44","145.09M","-0.40%"
"08/14/2024","1,270.38","1,272.86","1,275.26","1,268.69","145.77M","0.13%"
"08/13/2024","1,268.72","1,269.09","1,272.21","1,262.91","165.20M","-0.21%"
"08/12/2024","1,271.44","1,267.05","1,273.16","1,259.60","164.09M","0.52%"
"08/09/2024","1,264.84","1,250.37","1,265.94","1,248.85","178.36M","1.73%"
"08/08/2024","1,243.31","1,247.89","1,256.36","1,238.41","223.19M","-0.82%"
"08/07/2024","1,253.58","1,259.22","1,259.39","1,245.46","220.05M","0.06%"
"08/06/2024","1,252.81","1,243.81","1,256.23","1,232.19","221.66K","1.68%"
"08/05/2024","1,232.11","1,262.68","1,264.87","1,226.37","363.09K","-3.82%"
"08/02/2024","1,281.01","1,269.67","1,281.01","1,253.68","249.74K","0.71%"
"08/01/2024","1,272.00","1,303.05","1,303.86","1,266.73","291.77K","-2.09%"
"07/31/2024","1,299.09","1,289.45","1,300.74","1,288.83","244.19K","0.88%"
"07/30/2024","1,287.82","1,285.65","1,289.78","1,279.24","166.02K","0.16%"
"07/29/2024","1,285.73","1,287.85","1,292.33","1,285.04","135.96K","0.30%"
"07/26/2024","1,281.84","1,273.66","1,281.84","1,272.59","141.73K","0.76%"
"07/25/2024","1,272.18","1,271.75","1,275.49","1,265.88","170.88K","-0.65%"
"07/24/2024","1,280.51","1,274.42","1,284.18","1,262.77","240.00K","0.14%"
"07/23/2024","1,278.67","1,301.57","1,304.81","1,277.39","257.32K","-1.59%"
"07/22/2024","1,299.31","1,299.69","1,305.96","1,288.59","270.89K","-0.23%"
"07/19/2024","1,302.32","1,307.75","1,314.15","1,296.61","302.64K","-0.31%"
"07/18/2024","1,306.38","1,305.25","1,308.67","1,290.05","236.83K","0.08%"
"07/17/2024","1,305.37","1,308.60","1,324.55","1,291.50","462.49K","0.16%"
"07/16/2024","1,303.30","1,298.14","1,309.75","1,298.14","202.88K","0.42%"
"07/15/2024","1,297.82","1,301.83","1,307.30","1,294.03","149.30K","-0.31%"
"07/12/2024","1,301.81","1,304.75","1,312.24","1,298.45","161.59K","-0.34%"
"07/11/2024","1,306.22","1,315.08","1,318.15","1,306.22","197.18K","-0.36%"
"07/10/2024","1,310.91","1,322.24","1,324.91","1,310.91","211.49K","-0.82%"
"07/09/2024","1,321.78","1,315.35","1,322.21","1,309.15","255.98K","0.45%"
"07/08/2024","1,315.83","1,317.01","1,319.27","1,309.55","207.42K","-0.03%"
"07/05/2024","1,316.18","1,310.82","1,316.70","1,307.98","178.74K","0.42%"
"07/04/2024","1,310.63","1,309.16","1,313.01","1,304.31","170.86K","0.39%"
